Name,X,Y,Z
BRO_559,488827.474,5148354.655,6
BRO_560,488827.474,5148339.655,6
BRO_209,488512.474,5147994.655,6
BRO_211,488542.474,5147994.655,6
BRO_262,489187.474,5148624.655,6
BRO_557,488827.474,5148369.655,6
BRO_33,489196.503,5148613.68,6
BRO_217,488542.474,5147979.655,6
BRO_205,488542.474,5148009.655,6
DAM_10,488926.656,5148524.01,6
BRO_544,488887.474,5148429.655,6
BRO_216,488527.474,5147979.655,6
BRO_243,489007.474,5148669.655,6
BRO_66,489211.404,5148599.71,6
BRO_210,488527.474,5147994.655,6
BRO_537,488872.474,5148444.655,6
BRO_247,489007.474,5148654.655,6
BRO_248,489022.474,5148654.655,6
NT-MW11-23,488691,5148546,5.95
NT-MW23-10,487391,5147661,5.59
NT-MW7-14,487930,5147734,5.57
NT-MW13-22,489023,5148754,5.38
NT-MW13-4,489019,5148753,5.35
NT-MW11-13,488691,5148541,5.34
NT-MW8-3,488093,5148220,5.33
NT-MW11-43,488692,5148544,5.24
NT-MW20-8,487379,5147487,5.08
NT-TW1,487377,5147502,5.07
CT43-1,487740,5147930,5.04
NT-MW22-9,487368,5147577,5.01
BRO_16,488134.186,5148001.497,5
BRO_17,488128.288,5147981.318,5
BRO_236,488062.474,5148249.655,5
BRO_112,488122.474,5147949.655,5
BRO_526,488182.474,5148069.655,5
BRO_585,488017.474,5148219.655,5
BRO_231,488227.474,5148144.655,5
BRO_95,488737.474,5148669.655,5
BRO_148,488587.474,5148504.655,5
BRO_145,488662.474,5148564.655,5
BRO_509,488017.474,5147754.655,5
BRO_516,487972.474,5147694.655,5
BRO_115,488662.474,5148549.655,5
BRO_512,488002.474,5147724.655,5
BRO_93,488677.474,5148624.655,5
BRO_276,488767.474,5148699.655,5
BRO_508,488032.474,5147769.655,5
BRO_120,488647.474,5148534.655,5
BRO_514,487987.474,5147709.655,5
BRO_275,488752.474,5148699.655,5
BRO_300,488902.474,5148789.655,5
BRO_142,488692.474,5148594.655,5
BRO_114,488647.474,5148549.655,5
BRO_273,488767.474,5148714.655,5
BRO_472,488572.474,5148669.655,5
BRO_517,487987.474,5147694.655,5
BRO_45,488727.743,5148888.572,5
BRO_272,488752.474,5148714.655,5
BRO_121,488662.474,5148534.655,5
BRO_92,488707.474,5148639.655,5
BRO_127,488662.474,5148519.655,5
BRO_94,488692.474,5148624.655,5
BRO_294,488887.474,5148804.655,5
BRO_89,488707.474,5148654.655,5
BRO_143,488677.474,5148579.655,5
BRO_500,487912.474,5147679.655,5
BRO_344,488437.474,5148279.655,5
BRO_191,488557.474,5148039.655,5
BRO_499,487897.474,5147679.655,5
BRO_208,488587.474,5148009.655,5
BRO_91,488692.474,5148639.655,5
BRO_501,487897.474,5147664.655,5
BRO_183,488572.474,5148054.655,5
BRO_198,488542.474,5148024.655,5
BRO_214,488587.474,5147994.655,5
BRO_69,489219.786,5148664.591,5
